13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
13.57;-0.31;13.57;-3.10;42.00;
